,FSCSKEY,LIBNAME_x,Usage,Usage difference,ATTEND-VISITS_Window1,VISIT difference,AUDIO_Window1,BRANLIB_Window1,LOANTO_Window1,TOTCIR_Window1,SALARIES_Window1,BKVOL_Window1,LOCGVT_Window1,BKMOB_Window1,OTHINCM_Window1,OTHPAID_Window1,LOANFM_Window1,REFERENC-REFERENCE_Window1,SUBSCRIP-SUBSCRIPT_Window1,TOTOPEXP-TOTOPEXP1_Window1,LIBRARIAN-LIBRARIA_Window1,TOTEXPCO-TOTEXPCOL_Window1,OBEREG_Window1,KIDCIRCL_Window1,STAFFEXP-TOTEXP_Window1,KIDATTEN-KIDATTEND_Window1,STGVT_Window1,TOTPEMP-TOTSTAFF_Window1,VIDEO_Window1,CENTLIB_Window1,BENEFIT_Window1,TOTINCM_Window1,MASTER_Window1,CAPITAL_Window1,DUPLI-HRS_OPEN_Window1,ELMATEXP_Window1,POPU-POPU_LSA_Window1,OTHOPEXP_Window1,Prediction
0,AK0001,ANCHOR POINT PUBLIC LIBRARY,3.5227983574612827,-0.1687068330301579,7179.2,105.22893915756632,261.4,0.0,0.0,13906.4,0.0,16911.6,1445.0,0.0,13713.2,0.134,25.8,712.0,7.8,19880.4,0.544,3273.0,8.0,1889.4,0.0,300.2,13632.2,0.678,4269.0,1.0,0.0,30145.8,0.0,0.0,1394.0,100.0,2040.8,0.0,-11.018582673324904
1,AK0002,ANCHORAGE PUBLIC LIBRARY,2.8435728677671324,0.9757425022483223,852227.0,-0.995878797550418,49567.4,4.0,5002.4,1716357.4,2995241.6,474816.8,10406457.8,0.0,205384.2,52.626,2236.2,111045.4,736.8,11012666.8,27.206,939595.6,8.0,560000.8,5216322.2,39200.0,54096.8,79.83200000000001,60385.2,1.0,2221080.6,10822509.0,20.796000000000003,1070407.8,10528.0,209667.0,299694.0,2905096.6,-702.9383380270931
2,AK0003,ANDERSON VILLAGE LIBRARY,4.265913611466924,0.7521803222655237,977.0,37.72937563971341,52.0,0.0,1.0,952.6,0.0,15448.0,5200.0,0.0,1783.8,0.27,1.0,225.0,4.8,12574.8,0.37,2934.8,8.0,225.4,0.0,16.0,6520.0,0.64,1191.0,1.0,0.0,13503.8,0.0,0.0,526.4,129.0,227.8,0.0,-7.959881065514031
3,AK0006,KUSKOKWIM CONSORTIUM LIBRARY,6.13211208816401,-0.5193249199480037,38158.2,-0.650591484923293,4314.6,0.0,39.0,11930.8,125579.8,34030.6,70044.4,0.0,188424.8,1.35,80.4,1175.0,51.0,248192.8,1.6,10443.6,8.0,2100.4,182209.0,921.6,6580.0,2.95,2540.6,1.0,56629.2,265049.2,0.6,150000.0,2449.2,2222.6,6216.2,6258.0,-22.41975340798557
4,AK0007,BIG LAKE PUBLIC LIBRARY,4.308129777627785,1.603051669733459,48685.6,-0.9666883020852161,11207.6,0.0,106.2,51374.2,129242.6,24341.2,334352.6,0.0,0.0,2.064,121.6,3581.4,42.0,333088.0,1.0,21946.0,8.0,19600.2,202017.0,4174.6,6580.0,3.064,2522.6,1.0,72774.4,344512.2,0.0,0.0,2552.6,0.0,11532.6,43900.4,-28.72892442394909
5,AK0008,CANTWELL COMMUNITY LIBRARY,15.618525102376035,1.0664335878274804,3015.2,0.13557972937118606,273.0,0.0,27.0,4456.8,0.0,12965.2,4064.2,0.0,2666.4,0.376,45.8,386.0,9.6,19504.8,0.696,5101.0,8.0,2342.0,0.0,103.8,6580.0,1.0719999999999998,390.6,1.0,0.0,20310.6,0.0,0.0,696.0,0.0,193.6,0.0,-9.343071430832886
6,AK0011,CHINIAK PUBLIC LIBRARY,13.76227212228765,0.3926069763921049,641.0,3.424960998439938,147.6,0.0,0.0,564.0,0.0,2937.6,2420.0,0.0,19296.8,0.078,14.8,51.4,16.0,46094.2,0.0,3787.8,8.0,249.6,0.0,161.2,13588.0,0.078,402.0,1.0,0.0,49103.4,0.0,1120.0,442.2,52.8,47.0,0.0,-19.12007103696272
7,AK0014,COLD BAY PUBLIC LIBRARY,16.49756496583662,-0.74089811756399,1354.8,0.703424859757898,192.8,0.0,0.0,1553.4,0.0,7118.6,4159.6,0.0,29748.4,0.0,0.0,67.8,18.2,65116.2,0.0,2643.0,8.0,706.2,0.0,250.6,13319.8,0.0,3383.2,1.0,0.0,60401.8,0.0,0.0,512.0,24.8,81.8,0.0,-26.97373712711147
8,AK0015,COOPER LANDING COMMUNITY LIBRARY,11.949844987641942,-0.32225757304922237,3315.4,5.411111781383845,214.4,0.0,0.0,3234.6,0.0,3638.8,619.8,0.0,18040.4,0.04,66.0,209.6,0.8,25598.4,0.02,5528.6,8.0,1167.8,0.0,605.2,8310.2,0.06000000000000001,729.4,1.0,0.0,32674.0,0.0,1378.0,1096.8,40.0,277.6,0.0,-11.422770768453843
9,AK0016,CORDOVA PUBLIC LIBRARY,9.624782956045525,-0.7002008920279609,22219.8,-0.7664245402748899,9855.0,0.0,0.0,12819.0,199393.8,19962.8,544377.4,0.0,13203.8,1.5,295.4,1060.6,35.4,529320.0,3.444,11521.6,8.0,2167.2,312485.0,1707.6,13697.4,4.944,1302.2,1.0,113091.2,575819.8,0.0,4715936.4,2549.8,2100.0,2309.2,113519.6,-25.012553417717793
10,AK0017,CRAIG PUBLIC LIBRARY,16.3992370167665,-0.04216385601882255,19365.2,-0.3734327556648008,9822.4,0.0,0.0,30580.0,0.0,10814.8,115827.0,0.0,33371.2,0.52,140.6,4175.2,74.0,162971.6,1.0,18363.8,8.0,9139.0,0.0,1972.2,15400.6,1.52,2993.6,1.0,0.0,181612.6,0.0,4500.0,2171.8,1041.8,1183.6,0.0,-56.32723328791266
11,AK0019,DELTA COMMUNITY LIBRARY,42.725960556769806,-0.9053043167606063,47160.0,-0.8148430873621714,10177.8,0.0,141.0,48684.6,80805.8,14772.0,202900.8,0.0,13014.2,1.77,144.2,1490.0,11.6,213341.0,1.0,9769.0,8.0,9623.2,118823.2,2557.4,8208.2,2.7700000000000005,3588.8,1.0,38017.4,232888.0,0.0,0.0,2579.2,410.2,1103.6,46140.8,-19.19485142455241
12,AK0020,DILLINGHAM PUBLIC LIBRARY,14.457076417847322,0.3014535051535867,34499.6,-0.9130424700576238,10437.8,0.0,0.0,25106.6,0.0,23596.8,115933.6,0.0,47066.0,0.8320000000000001,132.4,2978.6,42.4,212211.4,1.0,10926.4,8.0,3692.0,0.0,1205.8,21618.6,1.832,4764.6,1.0,0.0,203122.6,0.0,0.0,2016.2,628.0,2386.8,0.0,-76.79131488132846
13,AK0021,EAGLE PUBLIC LIBRARY,26.66562816318804,-0.9202877762391102,2219.0,104.93375394321767,6632.4,0.0,0.0,13075.0,0.0,9487.2,2000.0,0.0,35278.4,0.42400000000000004,40.0,74.4,40.0,69072.2,0.47800000000000004,4816.4,8.0,1390.4,0.0,96.8,10049.6,0.9019999999999999,3788.0,1.0,0.0,59129.6,0.0,0.0,713.0,555.0,83.8,0.0,-28.015509684834043
14,AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,3.628338904255444,-0.765433303071177,359399.8,-0.998371173272773,36703.6,1.0,5345.4,673747.4,2343647.8,327969.6,5698880.4,1.0,124039.4,37.33,3875.8,116588.4,682.0,5811278.0,11.3,531130.2,8.0,277157.8,3738739.0,27081.0,19800.2,48.63,32621.0,1.0,1395091.2,5956905.0,10.5,3129556.6,7084.8,136084.6,99047.4,474966.8,-386.0430828274576
15,AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,6.988773961745314,1.5228696612552945,3328.2,1.5389700138212852,0.0,0.0,0.0,5103.8,0.0,9774.2,19482.8,0.0,108.2,0.0,80.4,510.6,42.4,32090.6,0.38,3069.4,8.0,1647.8,0.0,747.0,6580.0,0.38,732.2,1.0,0.0,31171.0,0.0,0.0,744.0,0.0,477.6,0.0,-14.731482681315041
16,AK0027,COPPER VALLEY COMMUNITY LIBRARY,19.444370216900246,-0.5388936118040089,9446.6,-0.7189253276311054,722.8,0.0,0.0,14475.6,0.0,18332.8,0.0,0.0,54246.6,0.064,45.0,3021.2,17.2,43099.6,0.0,7107.6,8.0,4365.0,0.0,352.4,7349.2,0.064,3652.0,1.0,0.0,66705.0,0.0,35184.0,1547.0,521.6,481.8,0.0,-17.681497977862282
17,AK0028,GUSTAVUS PUBLIC LIBRARY,19.484382812270425,-0.020997639778938027,10093.4,3.3928904036300946,6015.8,0.0,0.0,9257.4,0.0,13002.0,50267.8,0.0,15020.4,0.0,72.6,245.0,23.2,76408.8,0.966,6371.4,8.0,3477.0,0.0,1831.0,7172.6,0.966,1473.2,1.0,0.0,76963.2,0.0,9618.0,1268.8,329.8,519.6,0.0,-29.746095862748334
