,LIBNAME,new
1,ANCHORAGE PUBLIC LIBRARY,-6.303554916720338
3,KUSKOKWIM CONSORTIUM LIBRARY,-4.533929815179419
4,BIG LAKE PUBLIC LIBRARY,-4.733665750588383
9,CORDOVA PUBLIC LIBRARY,-4.775874989432279
11,DELTA COMMUNITY LIBRARY,-1.082918014207369
15,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,-6.228965557972439
19,HAINES BOROUGH PUBLIC LIBRARY,-2.8873539286035337
22,HOMER PUBLIC LIBRARY,-3.865808101886315
24,JUNEAU PUBLIC LIBRARIES,-5.8043279101439635
26,KENAI COMMUNITY LIBRARY,-4.866536460746991
27,KETCHIKAN PUBLIC LIBRARY,-5.151177897578262
28,A. HOLMES JOHNSON MEMORIAL LIBRARY,-4.664879203403264
29,CHUKCHI CONSORTIUM LIBRARY,-4.928609787668103
33,MARTIN MONSEN REGIONAL LIBRARY,-4.834985636371479
36,KEGOAYAH KOZGA LIBRARY,-4.777338664858431
38,PALMER PUBLIC LIBRARY,-6.329322470469476
40,PETERSBURG PUBLIC LIBRARY,-3.177326953054373
44,SEWARD COMMUNITY LIBRARY,-4.0117230568070035
45,KETTLESON MEMORIAL LIBRARY,-4.045393518181805
47,SOLDOTNA PUBLIC LIBRARY,-4.798390148931804
50,TALKEETNA PUBLIC LIBRARY,-3.8861508133860236
55,VALDEZ CONSORTIUM LIBRARY,-4.6163720171734735
56,WASILLA META-ROSE PUBLIC LIBRARY,-6.432674095100951
57,WILLOW PUBLIC LIBRARY,-4.08380557561256
58,IRENE INGLE PUBLIC LIBRARY,-4.387769931533769
64,TUZZY CONSORTIUM LIBRARY,-6.970800055992299
75,UNALASKA PUBLIC LIBRARY,0.83090998705693
90,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,-15.208836488574923
95,JASPER PUBLIC LIBRARY,-6.129818245104716
97,CHEAHA REGIONAL LIBRARY,-33.778699809445364
98,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,-5.772879783538697
99,ASHLAND CITY PUBLIC LIBRARY,-6.096750154692056
100,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,-4.201764655323336
101,CHEROKEE COUNTY PUBLIC LIBRARY,-5.228014039623284
102,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,-6.77398893433614
103,LINCOLN PUBLIC LIBRARY,-7.081580531691134
106,OXFORD PUBLIC LIBRARY,-7.317775500481368
107,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,-6.136466909109852
108,ABBEVILLE MEMORIAL LIBRARY,-8.829467454020339
110,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,-10.357379785844492
111,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,-3.7459492371470877
112,OZARK - DALE COUNTY PUBLIC LIBRARY,-9.665162619352245
118,TROY PUBLIC LIBRARY,-6.611995416635239
119,UNION SPRINGS PUBLIC LIBRARY,-4.231785930567409
120,ANDALUSIA PUBLIC LIBRARY,-6.057467414030317
123,GENEVA - EMMA KNOX KENAN PUBLIC LIBRARY,-8.514124809369076
124,ENTERPRISE PUBLIC LIBRARY,-9.187681038518424
125,FLORALA PUBLIC LIBRARY,-8.222663676037996
127,LUVERNE PUBLIC LIBRARY,-5.22159553014105
128,OPP PUBLIC LIBRARY,-9.260279845787686
131,HORSESHOE BEND REGIONAL LIBRARY,-21.71468814855345
132,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,-4.73522826213018
135,AUBURN PUBLIC LIBRARY,-6.054029517229998
136,OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY,-5.543483105422753
